name,createdAt,stargazerCount,url,releases.totalCount
android-mvp-mvvm-flytour,2018-12-25T10:42:31Z,2984,https://github.com/mxdldev/android-mvp-mvvm-flytour,11
bitcoin-wallet,2012-03-31T17:06:47Z,2980,https://github.com/bitcoin-wallet/bitcoin-wallet,18
dexcount-gradle-plugin,2015-06-04T03:33:17Z,2980,https://github.com/KeepSafe/dexcount-gradle-plugin,20
SlidingRootNav,2017-03-26T22:58:48Z,2979,https://github.com/yarolegovich/SlidingRootNav,1
robospice,2012-09-19T14:09:37Z,2979,https://github.com/stephanenicolas/robospice,1
sofa-jraft,2019-03-04T10:13:43Z,2974,https://github.com/sofastack/sofa-jraft,24
allure2,2016-05-27T14:06:05Z,2972,https://github.com/allure-framework/allure2,53
brigadier,2014-09-15T08:48:24Z,2968,https://github.com/Mojang/brigadier,3
Nuwa,2015-11-11T14:48:23Z,2967,https://github.com/jasonross/Nuwa,0
initializr,2013-06-07T16:02:22Z,2958,https://github.com/spring-io/initializr,12
DeepLearning,2013-01-01T16:23:53Z,2955,https://github.com/yusugomori/DeepLearning,0
light-task-scheduler,2014-10-24T12:53:14Z,2954,https://github.com/ltsopensource/light-task-scheduler,29
AndroidChromium,2016-07-04T07:28:36Z,2954,https://github.com/JackyAndroid/AndroidChromium,2
IoT-Technical-Guide,2019-04-02T01:52:44Z,2948,https://github.com/IoT-Technology/IoT-Technical-Guide,0
openj9,2017-08-25T13:46:07Z,2947,https://github.com/eclipse-openj9/openj9,33
jwt-spring-security-demo,2016-03-20T19:16:17Z,2936,https://github.com/szerhusenBC/jwt-spring-security-demo,3
cropper,2013-07-24T21:59:06Z,2930,https://github.com/edmodo/cropper,0
WebCollector,2014-07-12T03:16:12Z,2928,https://github.com/CrawlScript/WebCollector,0
ipscan,2011-06-28T20:58:48Z,2927,https://github.com/angryip/ipscan,28
logging-log4j2,2013-06-12T07:00:19Z,2926,https://github.com/apache/logging-log4j2,0
blog_demos,2017-04-09T04:51:56Z,2925,https://github.com/zq2599/blog_demos,0
BannerViewPager,2017-03-28T09:11:11Z,2919,https://github.com/zhpanvip/BannerViewPager,51
GDA-android-reversing-Tool,2017-10-31T08:18:29Z,2913,https://github.com/charles2gan/GDA-android-reversing-Tool,32
android,2014-10-04T05:53:29Z,2909,https://github.com/cSploit/android,33
android-vision,2015-07-01T21:40:31Z,2909,https://github.com/googlesamples/android-vision,0
AndroidTreeView,2015-02-11T02:48:05Z,2904,https://github.com/bmelnychuk/AndroidTreeView,0
java-developer-roadmap,2019-04-23T06:42:13Z,2903,https://github.com/s4kibs4mi/java-developer-roadmap,0
jersey,2012-05-18T11:38:25Z,2902,https://github.com/javaee/jersey,30
Ant-Media-Server,2017-03-01T08:21:13Z,2898,https://github.com/ant-media/Ant-Media-Server,40
Sunshine-Version-2,2015-03-05T01:48:44Z,2897,https://github.com/udacity/Sunshine-Version-2,0
RealtimeBlurView,2016-09-21T15:59:51Z,2896,https://github.com/mmin18/RealtimeBlurView,0
android-pathview,2015-01-20T15:21:06Z,2895,https://github.com/geftimov/android-pathview,2
CountdownView,2015-10-12T07:46:28Z,2889,https://github.com/iwgang/CountdownView,3
FadingActionBar,2013-05-25T11:50:00Z,2887,https://github.com/ManuelPeinado/FadingActionBar,0
camunda-bpm-platform,2013-01-03T10:10:31Z,2886,https://github.com/camunda/camunda-bpm-platform,0
BlurView,2016-04-21T16:00:07Z,2886,https://github.com/Dimezis/BlurView,25
WePush,2017-06-23T09:03:36Z,2869,https://github.com/rememberber/WePush,50
Packages,2015-06-13T04:17:44Z,2869,https://github.com/sublimehq/Packages,0
NekoX,2020-04-02T14:13:25Z,2864,https://github.com/NekoX-Dev/NekoX,185
FlyRefresh,2015-05-28T10:19:34Z,2864,https://github.com/race604/FlyRefresh,2
QNotified,2019-03-24T05:12:41Z,2863,https://github.com/ferredoxin/QNotified,28
geoserver,2011-11-10T19:56:06Z,2859,https://github.com/geoserver/geoserver,15
PlayerBase,2017-03-28T10:19:51Z,2859,https://github.com/jiajunhui/PlayerBase,18
AndroidTVLauncher,2016-03-27T08:59:19Z,2859,https://github.com/JackyAndroid/AndroidTVLauncher,3
IntelliJ-Key-Promoter-X,2017-07-28T22:09:25Z,2857,https://github.com/halirutan/IntelliJ-Key-Promoter-X,21
poi-tl,2015-03-20T06:47:52Z,2856,https://github.com/Sayi/poi-tl,12
spotless,2015-04-27T19:10:58Z,2856,https://github.com/diffplug/spotless,0
AndroidResideMenu,2013-12-14T15:25:49Z,2854,https://github.com/SpecialCyCi/AndroidResideMenu,7
RxJava2Examples,2017-06-19T05:38:45Z,2854,https://github.com/nanchen2251/RxJava2Examples,0
Bastillion,2013-02-07T23:11:49Z,2854,https://github.com/bastillion-io/Bastillion,17
anthelion,2015-10-27T00:42:01Z,2853,https://github.com/YahooArchive/anthelion,0
Android-Material-Examples,2014-10-13T16:13:02Z,2852,https://github.com/saulmm/Android-Material-Examples,0
AarogyaSetu_Android,2020-05-26T17:36:26Z,2851,https://github.com/nic-delhi/AarogyaSetu_Android,0
AxonFramework,2011-12-02T16:04:42Z,2849,https://github.com/AxonFramework/AxonFramework,98
AdapterDelegates,2015-07-29T11:19:56Z,2848,https://github.com/sockeqwe/AdapterDelegates,18
android-flip,2012-05-22T07:48:41Z,2847,https://github.com/openaphid/android-flip,0
google-services,2015-05-20T22:45:11Z,2847,https://github.com/googlesamples/google-services,0
blueocean-plugin,2016-01-23T18:02:45Z,2845,https://github.com/jenkinsci/blueocean-plugin,37
FastDev4Android,2015-10-22T05:22:53Z,2843,https://github.com/jiangqqlmj/FastDev4Android,4
serve,2019-10-03T03:17:43Z,2841,https://github.com/pytorch/serve,13
XhsEmoticonsKeyboard,2015-03-06T02:39:34Z,2839,https://github.com/w446108264/XhsEmoticonsKeyboard,7
PhotoPicker,2015-06-25T16:53:50Z,2836,https://github.com/donglua/PhotoPicker,13
curator,2014-03-03T08:00:07Z,2836,https://github.com/apache/curator,0
spotbugs,2016-11-04T22:18:08Z,2835,https://github.com/spotbugs/spotbugs,56
CommonDevKnowledge,2017-12-15T03:00:08Z,2835,https://github.com/AweiLoveAndroid/CommonDevKnowledge,0
elasticsearch-jdbc,2012-06-02T23:17:56Z,2834,https://github.com/jprante/elasticsearch-jdbc,19
Android-Skin-Loader,2015-07-01T07:36:33Z,2832,https://github.com/fengjundev/Android-Skin-Loader,0
ByteTCC,2016-02-12T11:51:14Z,2831,https://github.com/liuyangming/ByteTCC,17
ReLinker,2015-10-15T18:23:00Z,2829,https://github.com/KeepSafe/ReLinker,12
RxGalleryFinal,2016-04-22T01:41:15Z,2824,https://github.com/FinalTeam/RxGalleryFinal,1
ActivityRouter,2016-04-08T02:27:14Z,2820,https://github.com/mzule/ActivityRouter,3
StickyHeaderListView,2016-04-22T11:39:25Z,2819,https://github.com/sunfusheng/StickyHeaderListView,0
My-Blog,2019-03-04T09:17:00Z,2817,https://github.com/ZHENFENG13/My-Blog,0
android-mvvm-architecture,2017-07-07T08:34:07Z,2815,https://github.com/MindorksOpenSource/android-mvvm-architecture,0
android-percent-support-lib-sample,2015-06-26T12:44:38Z,2815,https://github.com/JulienGenoud/android-percent-support-lib-sample,2
android-Camera2Basic,2014-06-26T15:53:00Z,2813,https://github.com/googlearchive/android-Camera2Basic,0
shopizer,2012-11-21T03:42:39Z,2813,https://github.com/shopizer-ecommerce/shopizer,17
android-pdfview,2012-11-21T16:19:38Z,2809,https://github.com/JoanZapata/android-pdfview,0
ice,2013-06-14T20:56:13Z,2806,https://github.com/Teevity/ice,3
